"","ftu"
"NP-001-502-714-1F_filt.fastq.gz",0.946594806467418
"NP-002-503-714-1F_filt.fastq.gz",0.10856636425123
"NP-003-505-714-1F_filt.fastq.gz",0.702832255237997
"NP-004-506-714-1F_filt.fastq.gz",0.910567604983849
"NP-007-510-714-1F_filt.fastq.gz",0.982044402512015
"NP-008-511-714-1F_filt.fastq.gz",0.690768032763245
"NP-009-513-714-1F_filt.fastq.gz",0.0961435847683726
"NP-010-515-714-1F_filt.fastq.gz",0.538379644416054
"NP-011-516-715-1F_filt.fastq.gz",0.459093831232356
"NP-014-520-715-1F_filt.fastq.gz",0.372126076415015
"NP-015-521-715-1F_filt.fastq.gz",0.243053991984509
"NP-017-502-715-1F_filt.fastq.gz",0.237034428106014
"NP-018-503-715-1F_filt.fastq.gz",0.0961873764965709
"NP-019-505-715-1F_filt.fastq.gz",0.00294852292147918
"NP-022-508-715-1F_filt.fastq.gz",0.989250208139478
"NP-025-513-716-1F_filt.fastq.gz",0.441243507827972
"NP-026-515-716-1F_filt.fastq.gz",0.179157470492275
"NP-027-516-716-1F_filt.fastq.gz",0.100161411815345
"NP-028-517-716-1F_filt.fastq.gz",0.904443134126461
"NP-029-518-716-1F_filt.fastq.gz",0.772858536585366
"NP-034-503-718-1F_filt.fastq.gz",0.188168810869304
"NP-035-505-718-1F_filt.fastq.gz",0.541253857398083
"NP-036-506-718-1F_filt.fastq.gz",0.396474248185275
"NP-037-507-718-1F_filt.fastq.gz",0.968123784560751
